mcc	acc	f1	f1_weighted	precision	recall	auroc	tp	tn	fp	fn	name	variables	representation	fold	run
-0.010233533961798574	0.4982290436835891	0.45161290322580644	0.4971638217580033	0.46419098143236076	0.4396984924623116	0.5079853611039608	175	247	223	202	lightgbm	{'n_estimators': 309, 'class_weight': 'balanced', 'num_leaves': 590, 'max_depth': 4, 'subsample': 0.5473313947510049, 'colsample_bytree': 0.32137333894828407, 'min_split_gain': 8.796614380204727e-10, 'reg_alpha': 1.0777791301827249e-10, 'learning_rate': 1.5132569377804583e-07, 'verbose': -1, 'n_jobs': 10}	chemberta-2	0	1
-0.030192170974851423	0.4793388429752066	0.5148514851485149	0.4743173101328662	0.4588235294117647	0.5864661654135338	0.4866910580021483	234	172	165	276	lightgbm	{'n_estimators': 309, 'class_weight': 'balanced', 'num_leaves': 590, 'max_depth': 4, 'subsample': 0.5473313947510049, 'colsample_bytree': 0.32137333894828407, 'min_split_gain': 8.796614380204727e-10, 'reg_alpha': 1.0777791301827249e-10, 'learning_rate': 1.5132569377804583e-07, 'verbose': -1, 'n_jobs': 10}	chemberta-2	1	1
-0.03211646182673487	0.4887839433293979	0.42649006622516555	0.48593129507009863	0.45224719101123595	0.40350877192982454	0.47748836376655923	161	253	238	195	lightgbm	{'n_estimators': 309, 'class_weight': 'balanced', 'num_leaves': 590, 'max_depth': 4, 'subsample': 0.5473313947510049, 'colsample_bytree': 0.32137333894828407, 'min_split_gain': 8.796614380204727e-10, 'reg_alpha': 1.0777791301827249e-10, 'learning_rate': 1.5132569377804583e-07, 'verbose': -1, 'n_jobs': 10}	chemberta-2	2	1
-0.008209917026046407	0.49586776859504134	0.48116646415552855	0.4962897348533511	0.4669811320754717	0.49624060150375937	0.5026237468671679	198	222	201	226	lightgbm	{'n_estimators': 309, 'class_weight': 'balanced', 'num_leaves': 590, 'max_depth': 4, 'subsample': 0.5473313947510049, 'colsample_bytree': 0.32137333894828407, 'min_split_gain': 8.796614380204727e-10, 'reg_alpha': 1.0777791301827249e-10, 'learning_rate': 1.5132569377804583e-07, 'verbose': -1, 'n_jobs': 10}	chemberta-2	3	1
-0.051450149180192944	0.47044917257683216	0.4909090909090909	0.46833262930108127	0.44813278008298757	0.542713567839196	0.4811333452979182	216	182	182	266	lightgbm	{'n_estimators': 309, 'class_weight': 'balanced', 'num_leaves': 590, 'max_depth': 4, 'subsample': 0.5473313947510049, 'colsample_bytree': 0.32137333894828407, 'min_split_gain': 8.796614380204727e-10, 'reg_alpha': 1.0777791301827249e-10, 'learning_rate': 1.5132569377804583e-07, 'verbose': -1, 'n_jobs': 10}	chemberta-2	4	1
0.6425241911386048	0.8193624557260921	0.8172043010752689	0.8194657046650463	0.7790432801822323	0.8592964824120602	0.9017806180121095	342	352	56	97	rf	{'n_estimators': 201, 'max_depth': 36, 'min_samples_split': 6, 'min_samples_leaf': 14, 'max_features': 'sqrt', 'bootstrap': False, 'class_weight': 'balanced', 'ccp_alpha': 5.655296850883453e-06, 'n_jobs': 10}	ecfp-8-1024	0	2
0.6439727045869037	0.820543093270366	0.8177458033573142	0.8206601891271915	0.7839080459770115	0.8546365914786967	0.9001130057286072	341	354	58	94	rf	{'n_estimators': 201, 'max_depth': 36, 'min_samples_split': 6, 'min_samples_leaf': 14, 'max_features': 'sqrt', 'bootstrap': False, 'class_weight': 'balanced', 'ccp_alpha': 5.655296850883453e-06, 'n_jobs': 10}	ecfp-8-1024	1	2
0.634310057205807	0.8146399055489965	0.8142011834319527	0.814664192874675	0.7713004484304933	0.8621553884711779	0.8802083333333333	344	346	55	102	rf	{'n_estimators': 201, 'max_depth': 36, 'min_samples_split': 6, 'min_samples_leaf': 14, 'max_features': 'sqrt', 'bootstrap': False, 'class_weight': 'balanced', 'ccp_alpha': 5.655296850883453e-06, 'n_jobs': 10}	ecfp-8-1024	2	2
0.6610899888712652	0.8288075560802833	0.8267622461170848	0.8289006331964615	0.7899543378995434	0.8671679197994987	0.903984291084855	346	356	53	92	rf	{'n_estimators': 201, 'max_depth': 36, 'min_samples_split': 6, 'min_samples_leaf': 14, 'max_features': 'sqrt', 'bootstrap': False, 'class_weight': 'balanced', 'ccp_alpha': 5.655296850883453e-06, 'n_jobs': 10}	ecfp-8-1024	3	2
0.636987662828517	0.8167848699763594	0.8143712574850299	0.8168947076509939	0.7780320366132724	0.8542713567839196	0.8861719310839915	340	351	58	97	rf	{'n_estimators': 201, 'max_depth': 36, 'min_samples_split': 6, 'min_samples_leaf': 14, 'max_features': 'sqrt', 'bootstrap': False, 'class_weight': 'balanced', 'ccp_alpha': 5.655296850883453e-06, 'n_jobs': 10}	ecfp-8-1024	4	2
